# Testing Hostname: Q0G-I3-J05.mira.i2b
# Processors: 32 MsgLen 64 Repeats: 100
# ProcName1:rank   ProcName2:rank   AvgCommTime(usecs) StdDev
Task 4 of 32 (0,0,0,0,0,4)  R03-M1-N00-J00 004  Task 11 of 32 (0,0,0,0,0,11)  R03-M1-N00-J00 011      17.53    0.03
Task 4 of 32 (0,0,0,0,0,4)  R03-M1-N00-J00 004  Task 12 of 32 (0,0,0,0,0,12)  R03-M1-N00-J00 012      17.58    0.03
Task 4 of 32 (0,0,0,0,0,4)  R03-M1-N00-J00 004  Task 13 of 32 (0,0,0,0,0,13)  R03-M1-N00-J00 013      17.46    0.03
Task 4 of 32 (0,0,0,0,0,4)  R03-M1-N00-J00 004  Task 14 of 32 (0,0,0,0,0,14)  R03-M1-N00-J00 014      17.58    0.03
Task 4 of 32 (0,0,0,0,0,4)  R03-M1-N00-J00 004  Task 15 of 32 (0,0,0,0,0,15)  R03-M1-N00-J00 015      17.49    0.02
Task 4 of 32 (0,0,0,0,0,4)  R03-M1-N00-J00 004  Task 16 of 32 (0,0,0,0,1,0)  R03-M1-N00-J07 016      18.76    0.11
Task 4 of 32 (0,0,0,0,0,4)  R03-M1-N00-J00 004  Task 17 of 32 (0,0,0,0,1,1)  R03-M1-N00-J07 017      17.41    0.03
Task 4 of 32 (0,0,0,0,0,4)  R03-M1-N00-J00 004  Task 18 of 32 (0,0,0,0,1,2)  R03-M1-N00-J07 018      17.17    0.03
Task 4 of 32 (0,0,0,0,0,4)  R03-M1-N00-J00 004  Task 19 of 32 (0,0,0,0,1,3)  R03-M1-N00-J07 019      17.32    0.03
Task 4 of 32 (0,0,0,0,0,4)  R03-M1-N00-J00 004  Task 20 of 32 (0,0,0,0,1,4)  R03-M1-N00-J07 020      17.22    0.03
Task 4 of 32 (0,0,0,0,0,4)  R03-M1-N00-J00 004  Task 21 of 32 (0,0,0,0,1,5)  R03-M1-N00-J07 021      17.32    0.03
Task 4 of 32 (0,0,0,0,0,4)  R03-M1-N00-J00 004  Task 22 of 32 (0,0,0,0,1,6)  R03-M1-N00-J07 022      17.13    0.03
Task 4 of 32 (0,0,0,0,0,4)  R03-M1-N00-J00 004  Task 23 of 32 (0,0,0,0,1,7)  R03-M1-N00-J07 023      17.33    0.03
Task 4 of 32 (0,0,0,0,0,4)  R03-M1-N00-J00 004  Task 24 of 32 (0,0,0,0,1,8)  R03-M1-N00-J07 024      17.27    0.03
Task 4 of 32 (0,0,0,0,0,4)  R03-M1-N00-J00 004  Task 25 of 32 (0,0,0,0,1,9)  R03-M1-N00-J07 025      17.49    0.04
Task 4 of 32 (0,0,0,0,0,4)  R03-M1-N00-J00 004  Task 26 of 32 (0,0,0,0,1,10)  R03-M1-N00-J07 026      17.17    0.03
Task 4 of 32 (0,0,0,0,0,4)  R03-M1-N00-J00 004  Task 27 of 32 (0,0,0,0,1,11)  R03-M1-N00-J07 027      17.35    0.03
Task 4 of 32 (0,0,0,0,0,4)  R03-M1-N00-J00 004  Task 28 of 32 (0,0,0,0,1,12)  R03-M1-N00-J07 028      17.26    0.03
Task 4 of 32 (0,0,0,0,0,4)  R03-M1-N00-J00 004  Task 29 of 32 (0,0,0,0,1,13)  R03-M1-N00-J07 029      17.37    0.03
Task 4 of 32 (0,0,0,0,0,4)  R03-M1-N00-J00 004  Task 30 of 32 (0,0,0,0,1,14)  R03-M1-N00-J07 030      17.18    0.03
Task 4 of 32 (0,0,0,0,0,4)  R03-M1-N00-J00 004  Task 31 of 32 (0,0,0,0,1,15)  R03-M1-N00-J07 031      17.47    0.03
Task 5 of 32 (0,0,0,0,0,5)  R03-M1-N00-J00 005  Task 5 of 32 (0,0,0,0,0,5)  R03-M1-N00-J00 005       0.00    0.00
Task 5 of 32 (0,0,0,0,0,5)  R03-M1-N00-J00 005  Task 6 of 32 (0,0,0,0,0,6)  R03-M1-N00-J00 006      17.70    0.03
Task 5 of 32 (0,0,0,0,0,5)  R03-M1-N00-J00 005  Task 7 of 32 (0,0,0,0,0,7)  R03-M1-N00-J00 007      17.49    0.02
Task 5 of 32 (0,0,0,0,0,5)  R03-M1-N00-J00 005  Task 8 of 32 (0,0,0,0,0,8)  R03-M1-N00-J00 008      17.68    0.03
Task 5 of 32 (0,0,0,0,0,5)  R03-M1-N00-J00 005  Task 9 of 32 (0,0,0,0,0,9)  R03-M1-N00-J00 009      17.37    0.02
Task 5 of 32 (0,0,0,0,0,5)  R03-M1-N00-J00 005  Task 10 of 32 (0,0,0,0,0,10)  R03-M1-N00-J00 010      17.46    0.02
Task 5 of 32 (0,0,0,0,0,5)  R03-M1-N00-J00 005  Task 11 of 32 (0,0,0,0,0,11)  R03-M1-N00-J00 011      17.40    0.02
Task 5 of 32 (0,0,0,0,0,5)  R03-M1-N00-J00 005  Task 12 of 32 (0,0,0,0,0,12)  R03-M1-N00-J00 012      17.55    0.03
Task 5 of 32 (0,0,0,0,0,5)  R03-M1-N00-J00 005  Task 13 of 32 (0,0,0,0,0,13)  R03-M1-N00-J00 013      17.40    0.02
Task 5 of 32 (0,0,0,0,0,5)  R03-M1-N00-J00 005  Task 14 of 32 (0,0,0,0,0,14)  R03-M1-N00-J00 014      17.38    0.02
Task 5 of 32 (0,0,0,0,0,5)  R03-M1-N00-J00 005  Task 15 of 32 (0,0,0,0,0,15)  R03-M1-N00-J00 015      17.35    0.03
Task 5 of 32 (0,0,0,0,0,5)  R03-M1-N00-J00 005  Task 16 of 32 (0,0,0,0,1,0)  R03-M1-N00-J07 016      18.72    0.12
Task 5 of 32 (0,0,0,0,0,5)  R03-M1-N00-J00 005  Task 17 of 32 (0,0,0,0,1,1)  R03-M1-N00-J07 017      17.36    0.03
Task 5 of 32 (0,0,0,0,0,5)  R03-M1-N00-J00 005  Task 18 of 32 (0,0,0,0,1,2)  R03-M1-N00-J07 018      17.24    0.03
Task 5 of 32 (0,0,0,0,0,5)  R03-M1-N00-J00 005  Task 19 of 32 (0,0,0,0,1,3)  R03-M1-N00-J07 019      17.25    0.03
